epoch_ms,I_E,Q_E,I_P,Q_P,I_L,Q_L,fd_hz,coff_chips_start,coff_chips_end
0,1023169,-16150,2156245,-33779,3299301,-51611,1255.0,347.0,1370.0000000001014
1,1022157,-48281,2154120,-101492,3296052,-155219,1255.0,347.0000000001014,1370.0000000002028
2,1020136,-80364,2149869,-169105,3289550,-258674,1255.0,347.0000000002028,1370.0000000003042
3,1017108,-112367,2143497,-236550,3279801,-361873,1255.0,347.0000000003042,1370.0000000004056
4,1013077,-144260,2135009,-303762,3266816,-464716,1255.0,347.00000000040563,1370.000000000507
5,1008045,-176010,2124414,-370675,3250607,-567100,1255.0,347.00000000050704,1370.0000000006085
6,1002019,-207587,2111722,-437221,3231190,-668924,1255.0,347.00000000060845,1370.0000000007099
7,995004,-238959,2096947,-503336,3208584,-770088,1255.0,347.00000000070986,1370.0000000008113
8,987008,-270095,2080102,-568955,3182812,-870492,1255.0,347.00000000081127,1370.0000000009127
9,978037,-300964,2061204,-634011,3153899,-970037,1255.0,347.0000000009127,1370.000000001014
10,968100,-331536,2040272,-698442,3121873,-1068625,1255.0,347.0000000010141,1370.0000000011155
11,957209,-361782,2017327,-762184,3086766,-1166158,1255.0,347.0000000011155,1370.000000001217
12,945373,-391670,1992391,-825174,3048613,-1262540,1255.0,347.0000000012169,1370.0000000013183
13,932604,-421171,1965488,-887349,3007451,-1357676,1255.0,347.0000000013183,1370.0000000014197
14,918914,-450257,1936646,-948649,2963322,-1451473,1255.0,347.0000000014197,1370.0000000015211
15,904318,-478899,1905893,-1009012,2916268,-1543837,1255.0,347.00000000152113,1370.0000000016225
16,888829,-507068,1873259,-1068380,2866336,-1634677,1255.0,347.00000000162254,1370.000000001724
17,872463,-534737,1838776,-1126693,2813575,-1723904,1255.0,347.00000000172395,1370.0000000018254
18,855236,-561877,1802478,-1183895,2758037,-1811430,1255.0,347.00000000182536,1370.0000000019268
19,837165,-588464,1764402,-1239928,2699778,-1897168,1255.0,347.00000000192676,1370.0000000020282
20,818268,-614469,1724584,-1294737,2638854,-1981034,1255.0,347.0000000020282,1370.0000000021296
21,798563,-639869,1683064,-1348269,2575326,-2062945,1255.0,347.0000000021296,1370.000000002231
22,778070,-664636,1639884,-1400470,2509257,-2142820,1255.0,347.000000002231,1370.0000000023324
23,756810,-688748,1595085,-1451289,2440711,-2220581,1255.0,347.0000000023324,1370.0000000024338
24,734802,-712180,1548711,-1500675,2369757,-2296150,1255.0,347.0000000024338,1370.0000000025352
25,712069,-734910,1500810,-1548581,2296464,-2369452,1255.0,347.0000000025352,1370.0000000026366
26,688634,-756914,1451427,-1594959,2220904,-2440417,1255.0,347.0000000026366,1370.000000002738
27,664519,-778171,1400612,-1639762,2143153,-2508973,1255.0,347.00000000273803,1370.0000000028394
28,639748,-798660,1348415,-1682947,2063287,-2575053,1255.0,347.00000000283944,1370.0000000029409
29,614346,-818361,1294887,-1724471,1981384,-2638592,1255.0,347.00000000294085,1370.0000000030423
30,588337,-837254,1240081,-1764294,1897526,-2699527,1255.0,347.00000000304226,1370.0000000031437
31,561748,-855321,1184051,-1802375,1811796,-2757797,1255.0,347.00000000314367,1370.000000003245
32,534605,-872544,1126853,-1838678,1724277,-2813346,1255.0,347.0000000032451,1370.0000000033465
33,506934,-888906,1068543,-1873166,1635057,-2866119,1255.0,347.0000000033465,1370.000000003448
34,478763,-904390,1009178,-1905805,1544223,-2916063,1255.0,347.0000000034479,1370.0000000035493
35,450119,-918982,948817,-1936564,1451866,-2963129,1255.0,347.0000000035493,1370.0000000036507
36,421031,-932667,887520,-1965411,1358075,-3007271,1255.0,347.0000000036507,1370.0000000037521
37,391527,-945432,825347,-1992319,1262944,-3048446,1255.0,347.0000000037521,1370.0000000038535
38,361637,-957264,762359,-2017261,1166567,-3086612,1255.0,347.00000000385353,1370.000000003955
39,331390,-968151,698620,-2040212,1069039,-3121731,1255.0,347.00000000395494,1370.0000000040563
40,300817,-978082,634190,-2061149,970455,-3153770,1255.0,347.00000000405635,1370.0000000041578
41,269946,-987048,569135,-2080053,870914,-3182697,1255.0,347.00000000415776,1370.0000000042592
42,238809,-995040,503518,-2096903,770513,-3208482,1255.0,347.00000000425916,1370.0000000043606
43,207436,-1002051,437404,-2111684,669352,-3231101,1255.0,347.0000000043606,1370.000000004462
44,175858,-1008072,370859,-2124382,567531,-3250532,1255.0,347.000000004462,1370.0000000045634
45,144107,-1013098,303947,-2134982,465149,-3266755,1255.0,347.0000000045634,1370.0000000046648
46,112214,-1017125,236736,-2143476,362308,-3279753,1255.0,347.0000000046648,1370.0000000047662
47,80210,-1020148,169291,-2149854,259110,-3289515,1255.0,347.0000000047662,1370.0000000048676
48,48127,-1022164,101679,-2154111,155656,-3296031,1255.0,347.0000000048676,1370.000000004969
49,15996,-1023171,33967,-2156242,52048,-3299294,1255.0,347.000000004969,1370.0000000050704
50,-16150,-1023169,-33779,-2156245,-51611,-3299301,1255.0,347.00000000507043,1370.0000000051718
51,-48281,-1022157,-101492,-2154120,-155219,-3296052,1255.0,347.00000000517184,1370.0000000052733
52,-80364,-1020136,-169105,-2149869,-258674,-3289550,1255.0,347.00000000527325,1370.0000000053747
53,-112367,-1017108,-236550,-2143497,-361873,-3279801,1255.0,347.00000000537466,1370.000000005476
54,-144260,-1013077,-303762,-2135009,-464716,-3266816,1255.0,347.00000000547607,1370.0000000055775
55,-176010,-1008045,-370675,-2124414,-567100,-3250607,1255.0,347.0000000055775,1370.0000000056789
56,-207587,-1002019,-437221,-2111722,-668924,-3231190,1255.0,347.0000000056789,1370.0000000057803
57,-238959,-995004,-503336,-2096947,-770088,-3208584,1255.0,347.0000000057803,1370.0000000058817
58,-270095,-987008,-568955,-2080102,-870492,-3182812,1255.0,347.0000000058817,1370.000000005983
59,-300964,-978037,-634011,-2061204,-970037,-3153899,1255.0,347.0000000059831,1370.0000000060845
60,-331536,-968100,-698442,-2040272,-1068625,-3121873,1255.0,347.0000000060845,1370.000000006186
61,-361782,-957209,-762184,-2017327,-1166158,-3086766,1255.0,347.0000000061859,1370.0000000062873
62,-391670,-945373,-825174,-1992391,-1262540,-3048613,1255.0,347.00000000628734,1370.0000000063887
63,-421171,-932604,-887349,-1965488,-1357676,-3007451,1255.0,347.00000000638875,1370.0000000064902
64,-450257,-918914,-948649,-1936646,-1451473,-2963322,1255.0,347.00000000649015,1370.0000000065916
65,-478899,-904318,-1009012,-1905893,-1543837,-2916268,1255.0,347.00000000659156,1370.000000006693
66,-507068,-888829,-1068380,-1873259,-1634677,-2866336,1255.0,347.00000000669297,1370.0000000067944
67,-534737,-872463,-1126693,-1838776,-1723904,-2813575,1255.0,347.0000000067944,1370.0000000068958
68,-561877,-855236,-1183895,-1802478,-1811430,-2758037,1255.0,347.0000000068958,1370.0000000069972
69,-588464,-837165,-1239928,-1764402,-1897168,-2699778,1255.0,347.0000000069972,1370.0000000070986
70,-614469,-818268,-1294737,-1724584,-1981034,-2638854,1255.0,347.0000000070986,1370.0000000072
71,-639869,-798563,-1348269,-1683064,-2062945,-2575326,1255.0,347.0000000072,1370.0000000073014
72,-664636,-778070,-1400470,-1639884,-2142820,-2509257,1255.0,347.0000000073014,1370.0000000074028
73,-688748,-756810,-1451289,-1595085,-2220581,-2440711,1255.0,347.00000000740283,1370.0000000075042
74,-712180,-734802,-1500675,-1548711,-2296150,-2369757,1255.0,347.00000000750424,1370.0000000076056
75,-734910,-712069,-1548581,-1500810,-2369452,-2296464,1255.0,347.00000000760565,1370.000000007707
76,-756914,-688634,-1594959,-1451427,-2440417,-2220904,1255.0,347.00000000770706,1370.0000000078085
77,-778171,-664519,-1639762,-1400612,-2508973,-2143153,1255.0,347.00000000780847,1370.0000000079099
78,-798660,-639748,-1682947,-1348415,-2575053,-2063287,1255.0,347.0000000079099,1370.0000000080113
79,-818361,-614346,-1724471,-1294887,-2638592,-1981384,1255.0,347.0000000080113,1370.0000000081127
80,-837254,-588337,-1764294,-1240081,-2699527,-1897526,1255.0,347.0000000081127,1370.000000008214
81,-855321,-561748,-1802375,-1184051,-2757797,-1811796,1255.0,347.0000000082141,1370.0000000083155
82,-872544,-534605,-1838678,-1126853,-2813346,-1724277,1255.0,347.0000000083155,1370.000000008417
83,-888906,-506934,-1873166,-1068543,-2866119,-1635057,1255.0,347.0000000084169,1370.0000000085183
84,-904390,-478763,-1905805,-1009178,-2916063,-1544223,1255.0,347.0000000085183,1370.0000000086197
85,-918982,-450119,-1936564,-948817,-2963129,-1451866,1255.0,347.00000000861974,1370.0000000087211
86,-932667,-421031,-1965411,-887520,-3007271,-1358075,1255.0,347.00000000872114,1370.0000000088226
87,-945432,-391527,-1992319,-825347,-3048446,-1262944,1255.0,347.00000000882255,1370.000000008924
88,-957264,-361637,-2017261,-762359,-3086612,-1166567,1255.0,347.00000000892396,1370.0000000090254
89,-968151,-331390,-2040212,-698620,-3121731,-1069039,1255.0,347.00000000902537,1370.0000000091268
90,-978082,-300817,-2061149,-634190,-3153770,-970455,1255.0,347.0000000091268,1370.0000000092282
91,-987048,-269946,-2080053,-569135,-3182697,-870914,1255.0,347.0000000092282,1370.0000000093296
92,-995040,-238809,-2096903,-503518,-3208482,-770513,1255.0,347.0000000093296,1370.000000009431
93,-1002051,-207436,-2111684,-437404,-3231101,-669352,1255.0,347.000000009431,1370.0000000095324
94,-1008072,-175858,-2124382,-370859,-3250532,-567531,1255.0,347.0000000095324,1370.0000000096338
95,-1013098,-144107,-2134982,-303947,-3266755,-465149,1255.0,347.0000000096338,1370.0000000097352
96,-1017125,-112214,-2143476,-236736,-3279753,-362308,1255.0,347.00000000973523,1370.0000000098366
97,-1020148,-80210,-2149854,-169291,-3289515,-259110,1255.0,347.00000000983664,1370.000000009938
98,-1022164,-48127,-2154111,-101679,-3296031,-155656,1255.0,347.00000000993805,1370.0000000100395
99,-1023171,-15996,-2156242,-33967,-3299294,-52048,1255.0,347.00000001003946,1370.0000000101409
