epoch_ms,est_doppler_hz,freq_error_hz,code_phase_chips,I_P,Q_P
0,1254.999993,4.999993,347.000000,5005561,-1726
50,1253.503631,3.503631,347.000000,2168947,-4503928
100,1249.352451,-0.647549,346.999998,4685807,1768248
150,1248.334218,-1.665782,346.999994,-149509,5000197
200,1250.464693,0.464693,346.999988,4249510,-2621336
250,1250.235207,0.235207,346.999986,4605687,-1951343
300,1249.827534,-0.172466,346.999985,4725284,1632250
350,1250.045477,0.045477,346.999985,4974760,-493329
400,1249.995717,-0.004283,346.999987,4999710,41938
450,1249.999069,-0.000931,346.999991,4991526,12523
500,1250.000612,0.000612,346.999992,5001751,-10463
550,1249.999827,-0.000173,346.999992,4996669,7292
600,1249.999991,-0.000009,346.999991,4998179,-4960
650,1249.999983,-0.000017,346.999987,4997903,-8812
700,1249.999992,-0.000008,346.999982,4998715,-8337
750,1249.999945,-0.000055,346.999977,5002364,-2176
800,1249.999909,-0.000091,346.999969,4994252,-4738
850,1249.999904,-0.000096,346.999964,5004803,-77
900,1250.000009,0.000009,346.999959,5001471,3308
950,1249.999964,-0.000036,346.999956,5003584,-3442
